EFECTIVO;CXC;INVENTARIO;EQ_OFICINA;EQ_TRANSPORTE;TERRENOS_Y_CONSTRUCCIONES;CXP;CONTRIBUCIONES_X_PAGAR;ANTICIPOS_CTE;CAP_SOCIAL;UTILIDADES_ACUMULADAS;UTILIDAD_O_PERDIDA;TOTAL_VENTAS;TOTAL_COMPRAS;UTILIDAD_BRUTA;TOTAL_GASTOS;OBJETIVO
1269152075;10990290.36;10177435.7;14873214919999900;3362745924;8121298231000000;37290216.05;3810045326;4293165849;3051798994;-2948619818;-7550950031;45436109.41;24966823.05;;;1
1193151731;9539093226;4895281423;1099370399;3242505743;9510360941;25493770.91;5314549895;2347036252;4689854273;5799778948;-3562705288;;;5434405325;11558527.94;1
;;3572386645;4493517111;4652836264;4055280642;9698649506000000;2180555691;;8425690246;-9355768978;7604413085;31194643.33;9983774372000000;14270900.07;17497595.37;1
20423187119999900;;2159949.8;;1278668269;-4411558.75;38877658.68;6056761746;8847155092;3522842223;6473154058999990;-1074709.11;;112268005.1;;;1
;9154535275;7943300895;8333304033;9433391964;6630397097999990;;984930661;2105651065;28507613399999900;-283203568;-4431018758;50826622.79;88819206.2;17591170.16;;1
3125774525;10549127.5;5180503945;5315127338;2160081161;3492510356;19758383.51;864420488;;1310827746;;-1940262856;24675827.77;;;23615692.32;1
1683375572;25386370330000000;;225897081;6652802714;6847142.93;13790481.87;;8775044581;3752737915;-10556087.94;-1836485428;;57491693.6;20934754.33;12237651.91;1
7597505659;6783856799;685110537;;;-7777685.72;7945642027000000;1496161187;2210340625;1198984025;15089465.2;;;78427872.9;;6231145396000000;1
9573948124;;13813145.85;;4140918767;3686495751;52059217.95;2644341949;6678801671;10111588.84;10610788.65;-4664949938;83057663.77;;;17254447.35;1
1208306755;5971393995;3503028585;3147633481;1213714.16;;7708379587;2033339486;7966993569;6499305467;;-64853353429999900;;63427969.86;17428618.27;17499748.57;1
1603809762;34302481010000000;19077488169999900;2352512442;4578758994;2326178313;5711430752;5333385903;9257270622;1187559434;5642117.05;-1504217365;56310657.75;6837653503;5289828313;;1
3818781579;19009270380000000;4453052185;1197964957;;4304059963;6297138712;3302078056;1685587122;6612488953;-3469637747;;15659716.1;6593689696;9531272718;;1
2418945497;6098997278;1074149.03;8358430231;1302701718;7267977741;6383917591;7627749659;4500990092;27997756160000000;-17981953.11;-1556856872;;8487876243999990;2855606003;5734525124;1
3226168445;7968334.52;13497870.63;16676978.2;8907705956;8210198373;41222457.21;1323661927;8341422614;4669145483;-2341834163;-4866048.11;58503841.2;74217580.03;17197858.55;18314450.61;1
1145011066;4511765098;8458472353;1180231329;6754849735;8693386703;23285770.5;27307679010000000;5165359209;;2231360394;-6526990643999990;;2684028121;;2491713119;1
2080216408;8644422394;21767805.31;;8983047317;7667522855;21082744.26;2105644202;;;2603890124;;85532856.78;85013376.63;22467291.33;27113329.54;1
40549596989999900;78388775.51;17659426.37;;33931937189999900;-5008355174;72445741.1;2553997412;2509120728;1710331919;24883739.99;-2189617.14;;422191237.2;58583403.5;54996231.47;1
8265789839;;;7501067043;5693243318;;13228245.73;3410584856;1502347305;12351551.63;-17687226.27;-2504492268;;75960876.52;8343337272000000;13753233.52;1
3533993255;70102582.22;67085353.3;5747243491;;5183955.77;;1091832159;13844048.97;7719658521000000;20121878.92;-4062152.67;669105013.5;509575905.6;57042532.7;43295806.6;1
5988170973;7173910247;1371555132;1501251477;1257731144;-2630353483;12374433.92;21506302399999900;1170628238;6546261092;;-3337951232;;;7248498414;9205203276;1
6599807226;6761671.76;11553278.39;272928159;4361297368;8341731571;21066626.9;1305850111;7253722207;1851443336;-4711890027;1695801066;52353805.31;19582598.62;44016370.58;30367798.32;1
8702651611;;2704178038;1193124367;4816879707;-4804848775;3661177348;2647976874;5117218755;5169265589;8349804870000000;-2329805462;16862584.67;97132120.97;;15073524.8;1
2514555106;7408964409;10813707.9;1340932334;6807635167999990;7521623882;21756766.47;2020595966;9921613592;9392329027999990;-6833671902000000;9529757074;30349072.08;6337087117000000;44543954.41;37471705.07;1
1908857045;42739003.05;3926190151;27844779.44;;-3735178809;62298159.95;5556829161;4062909396;1628909979;13427692.17;-32431828680000000;95286317.11;112395535.1;29489777.51;29247378.59;1
;33786364089999900;4017069349;1913489369;;6027836664;;1006538522;5741369895;5162282315;-14926248.68;-1435386387;50463119299999900;1037231929;4995233643;594960879;1
;4846815526000000;51064720.27;2212552712;9542292008;7173151089;30447145.37;2416535168;;;-9254467666000000;-3536280834;50624340.22;387877813.1;23221064.36;27011308.08;1
1450251699;;;1016250479;4096034065;5807508969;;2260122257;6488706447;5357287103;-1852298.13;-8800012879;31929488.94;19260445.36;13165302.41;;1
1234020259;17803765.19;6448980119;31522378510000000;31794457010000000;;20481828.37;9286051656;;7096350576;7459629925;;169129012.0;40718423.42;;44161812.91;1
5744459495;;33250914.37;1339664733;4351930395;7705138498;60330225.4;4147294779;3814200582;3243969356;5567382901000000;;107664296.6;68275744.63;19448759.23;20047265.03;1
2544638987;48964705.65;39060178.39;;8318358459999990;7206245596;93059650.6;6276158438;2717045273;4071846159;13268136.19;-8331173118;140016244.1;1074202976.0;31140745.4;31013707.07;1
2949638842;;5213370193;1435509994;2433662301;-6023753701;1837934907;3824775548;;6660742497;1881442035;1048795565;53840816.09;69726956.36;;;1
;5179007359;;5672165126;1724471229;;1090475398;;31378944460000000;1400734795;-12004235.88;5743074128;36074209910000000;4541081263;5851982824;10410175.71;1
1809586455;14606836.91;8468759274;3443067685;1637614001;2583223425;18259447.03;327201.81;15693285669999900;1176807973;;-20314479519999900;104597521.2;92725261.37;16874691.03;19239265.29;1
3065587.0;28723814.82;5136099197;13213561.57;5678621495;-6403320278;36879949.75;450725013;4931953601;2033983469;12998964.39;-2015217664;222922742.9;563215005.4;;26799428.69;1
;2596895.06;2496545244;6898068712;1221976878;5912986.38;4490818169;9209208419;2647266646;7493842489;-9464407282;-6980429802;2838588711;9677379534;9259654377;12626575.53;1
40892702739999900;24219976.9;5999225462000000;32632995.42;4922972362;-13773901.92;11169088.98;7402637474;;5867833982;13046874.13;419678636;155901098.7;147152452.1;28498650.06;23528515.85;1
2274635223;34234714.97;;2928226187;6733624974;5814833257999990;51763259.27;2455323438;3076005563;1223613634;;-6818972783;109398724.3;345056135.9;26192735.98;;1
5586912961;9334747422;5431682384;31546231329999900;;;9121693383;14095278040000000;1154780541;9745107454;-8394270983;-9687405467;16685400.54;9486160736;1131391155;;1
1418122955;40253257.86;69838944.01;1733524.94;;8052751977999990;92481904.99;1744333667;10708262.74;;;-6654846455;155873272.7;;23677125.63;24259345.85;1
7761351468;1826132843;16431997;1844864354;;-5892970456;5317312013;6537576847;12656230699999900;1021445705;;;5651530283;6560945284;9318613731;37812923600000000;1
1608604286;8358622197000000;4292109633;5105253556;7674768901;2512630.75;;;;;12325617.52;-7985357534;;21272066.37;6825560916;1698739739;1
3488618941;11342247.25;45051565.78;;;7689145601;31722756.51;2318917239;6752704765;3404440232;8469580442;-63202164120000000;68539691.93;178686573.3;19834628.07;11590868.13;1
7496765631;7425566452;;;5257405177;7019903766;3877900901;5836010254;3355753852;398362645;-1507375417;-13561164740000000;14670825.82;;;2992361887;1
3669913366;48341284.08;23996301.21;14690763.13;7288313261;4924164362;;7972610608;4620783214;5886647872000000;;-7318683.08;170657596.6;188916266.4;;21465515.42;1
1556350811;12439886.38;23987508.08;2414257868;1530120831;5785790613;19920410.15;8083744594;15175089719999900;1158313248;14929774.48;-5540916807999990;150188795.1;210882184.9;17821490.6;16261441.32;1
1779798128;1618632516;4599373549;;9462365741;;6931072771;;1192104931;2480628433;-9695337.96;8016496763;13513839.39;;2015964439;4813846373;1
1006354429;8565498792000000;;4024635747;3359019975;5755800007;14488057.21;8067211667;4499674953;5945441665;4015088807;-2673777214;39677581.27;15301877.08;6852984935;10990304.46;1
2377074925;3098926568;14506025.98;1591342317;4411227201;8729059152999990;11304826.1;5230284388;4444434268;108999089;2760276938;-2307483384;65379468.17;;9234712.5;6219842529;1
1968630995;3551883127;15840099109999900;5995646516;;-7532749065;41325200710000000;;1475638511;16128249619999900;9091991107;-6967869625;19072911.99;38661175.58;8915052686;20158258730000000;1
1174943877;7103732551;4580696143999990;8692342801;5523234684;-3084251872;;2087668626;2334256365;7733951111;5797498.33;;28806323.29;63742117.58;5112041518999990;8361788256;1
;;4644611968;1688479916;3154193636;-2693706988;3939486561;5128777975;4014659184;6086422514;22226173230000000;-2691453937;22481407.45;;;;1
823583413;8673704223;9427746298;4227999721;1138483265;-3539068496;;6854531064;5228217148;4954850.13;10060751.16;-41558098910000000;58694222.74;114054747.0;7434169568;;1
859693797;;10428171.33;2687237958;13440778169999900;7468126119;6465770333;18545222100000000;1096517344;6049538971;1625815994;-3794357352;53762586.33;51474125.86;7070141151000000;;1
2509961544;;61324071.49;1469182699;454560147;8208664.09;83990282.68;3750231911;23836926780000000;;5967586331;-7095813676;80985094.28;;28192212.79;32834550.36;1
1379069253;5416407923;2811371102;4711205953;;-11158886.03;2749801675;2874458777;6221881441;2598588877;59995336729999900;;79045330.82;8871463697;;4511283.67;1
10394910.93;84088258.33;19246418.69;19442763.0;3554544375;-8771533953;70987958.4;5764651445;4043501.8;3459887953;31938483.15;-6524575697;608694465.0;185653485.5;57017690.45;53804759.11;1
;2749990791;1669799499;40112561799999900;1472614293;-8942264870000000;910229912;1294131453;1398167161;;3082293498;7452676066;59086895.2;;4359725553;8778233413999990;1
4637128174;13376644.96;;8515303579;1302120074;-6502420092999990;16909240.13;2338369259;1583851176;4955381691000000;;7584712394;43323832.83;34353142.22;;25409430.07;1
1397858534;24182100930000000;43991520860000000;1442373511;2821565103;-13436679.56;1049333601;9909192106000000;;29568690660000000;;-1007029632;62734436.95;46928942.18;35513085289999900;3094579711;1
3785273557;32501415919999900;10856480.38;21441703380000000;1768213047;3774072311;4473654601;3836067494;;75326259860000000;7670704336;-11759715420000000;53614715.48;5430110448;28532299239999900;51679909860000000;1
233654242;12990241.97;34780655.83;117735.4;2719364134;;44056195.05;5360996046;7834170697;12179314.1;-7727176942000000;-4119403355;17617608.98;15607876.12;22714675.03;23495758.34;1
;9604200066;1760670147;;2775496275;-8194644466;1538164977;49153404160000000;7925285431;944289573;;1017027218;66365248.06;18045139.72;11081584.98;6652323329;1
836318584;1188547553;10525237.42;158461322;4348589848;8546240758;26942772830000000;4474601557;284595793;17511863.54;;5329720172;8431967024;1835162.16;4788723.72;9292879277999990;1
2844646605;5782820181;4554073.05;2732762962;8231761541;1107034326;10688199.86;1149393264;3926854006;1498919491;3526911534;-29494151539999900;44525757.35;;11969243.75;6007044867000000;1
1259472398;;3520653963;1699850717;5043943953;-2369459953;2808633231;9180754017000000;584233228;1195636618;5442344117000000;1072388327;30173239.26;1037062.32;3839913195;3758249357;1
6544526091;3300076027;5437221731;489452549;9950740344;;2251441567;1085504339;1581309948;6377685023;3649161084;-1420344293;31586145.25;22330363.88;33115072060000000;;1
4987625.33;2296682201;1295694945;1367597371;;;1433320115;1880134041;6871888107999990;3197780.31;;1211236239;57841514.93;14315340.41;;16615190.26;1
28682506760000000;13114426.07;12104086.25;8038517848;15594415259999900;3460080444;13303231.22;17082651809999900;1995168977;15651099.6;1358380229;;82617475.05;73369656.21;30442159.34;29653009.97;1
1638450634;27502720289999900;;8408318252;1074333629;6969253544;13229694.0;5138975061;4966275826;1407452735;2906025176;-2056593861;110046021.4;18158446.17;37681852539999900;7835375169;1
7969560229;32249694689999900;3008522673;1220268534;;6561062637999990;7600635132;2925060687;2014239327;799831558;-7829672151000000;4045430725;29624410.32;17764900.42;23221447.36;22068216.8;1
1066630793;3551838876;29897426160000000;6340888834;1011621968;5123775228999990;21330170.42;39623465469999900;;1515174294;2258924043;-6946626547;22634670.49;31536960.07;4091810558;5071090515;1
;35809977.04;26562173.32;1233726303;17422744319999900;3246643.6;47037669.14;6778462976;;7821000482000000;10599969.82;;;65103850.91;50492179.87;37107247.2;1
2598715337;37756793.34;41047123.51;4080017291;;6141880334;54228969.38;;1356251256;12159337.94;7724815777000000;-1118727253;260404894.1;217928574.1;61509878.52;61252155.02;1
7615786098;3778492207;;3854458092;1514029478;-6649314749;32679707430000000;2546535007;;1948984554;;1054719697;1394105491;;2730644758;2161364042;1
9566801414;3896754244;;1481045.9;4330842355;4400314.43;4172494874;1268102276;943979569;2059748943;;-5599762861;14232274.22;10424561.67;11018676.15;9431286596;1
1021943242;3512770005;26497199.16;2852435539;16144848060000000;8697810814;;1375189596;;16286069.54;-19155880.02;-9027739118;2579032398;3290249452;8971866047;6918484317000000;1
3098018642;56113792.29;60838935.75;6874563643999990;17132284330000000;2742288075;104624143.1;4370147236;10295835.72;7120255833;18095196.26;;329238232.4;859082215.3;;35742297.65;1
;3605425982;5439652993;3476470566;3676696307;2954284995;6417324055;1626333936;8072975673;1246716993;2278069.82;;87888382.24;321450509.7;13518455.71;14627217.73;1
5565155335;66805851.16;29080836.86;84151630.31;4150136216;25991321380000000;96505165.98;8470022837;32088165039999900;2365209188;9484619812;-19330221030000000;311698445.3;759717364.6;73735630.58;63006509.29;1
1092068.24;24841390.2;6950906721;33511430.04;;5490353414;40198753.03;;2402904298;1354772888;-17281951030000000;-4676739.86;43678666.48;101850187.9;;19115570.95;1
18672659009999900;69625748.36;9971564058;2364130903;1590035211;-7197582641;;423177729;1491582949;2364259566;22626956.09;-1058527.95;343493718.2;150469083.1;56789599.35;50726739.88;1
2178732775;13659266.17;5259837698;1149455669;2278532336;-13684190.73;4975925.38;6034501711;;416218912;26687417.99;-3969169223;154270582.9;;1460218773;3692217607;1
4967375156;59688641.79;25458190.09;36199902819999900;35237796580000000;-3113260123;68499119.91;7720890475;9017024814;12585414.65;9296265219;-2472320518;235368941.3;1052740129.0;;43204317.84;1
4017049065;24344851.8;23005149.51;2040410002;6873389695;2220209656;25416338.33;;2562870.03;2260833752;19156249.29;-3801770849;;73440003.48;20410267.82;19895043.59;1
1670843284;18042463.58;4124828.39;;1464993443;1288828475;10988503.12;3673095152;212404.27;13192462179999900;11216190.67;-3587665275;42896118.59;25657220.24;8227954.68;;1
2483302131;16174358280000000;21122510209999900;5300471499;7517427636;33436866489999900;2560927476;;;1923185523;-2112241828;-2056697836;22874538.61;2576723899;27626830939999900;;1
6798682456000000;;5439467842;5365185571;379680241;8807128007000000;8739923308;1558203774;2775450194;5048545596;-21494937.16;;7653752699;1861723783;;;1
9289856191;29813553.22;8549695074;1996579.38;641079856;-6721766811000000;22841211.08;;2915539527;17866938059999900;12944898.69;-3494364076;;;17106043.51;;1
11385931.21;27341440.29;31269007210000000;1045028442;1529216961;-9552692498;14883139.26;1844117124;3681432373;;-3361689255;1132499658;95095578.88;63317572.66;40360875.68;;1
3109884065;48535526110000000;2263060761;1530440801;7879621018;1224241204;;1924997224;1387873195;;11673353.73;-5069343852;49014450.67;40738578.89;3253659793;5488439807999990;1
6480471989;16526311.92;7852020203;6776448943;1291739837;1899317951;29307496.69;6343873094;18108365359999900;;3951591018;-3794841.33;36941677.92;;18410218.7;;1
2410103557;8269803966;9592519.08;7525537458;4360610808;15906783469999900;25478074.92;2616349762;3981598318;8808065586;6948983903;-2826042.17;;175676165.6;9382085215;14104233.47;1
1435969834;3317854127;7431514987000000;4565846392;6119233756;1467481737;15365531.5;2625554461;2218938752;3011185887;4357617396000000;1774034742;;11041599.17;16878408.15;12355635.57;1
;36303557.62;8374170.17;1408552929;6168562392;-2253559655;37087624.61;1789152018;1215199548;2326679387;7249671168;-317169213;128066808.4;48172046.63;47345888.72;34359975.15;1
5374875704;15576578.64;2248451915;8686726536;;-9287557821;;5762023875;4122655208;1258525384;;2439660899;220804599.2;56999285.83;15179447.87;;1
1079247.13;2179295069;16330125.2;;1364319009;7773660165;;;;8789172663999990;;9458341808999990;46644264.02;24959366.46;10592899.33;12713277.79;1
3638181454;21604521.5;13326033.57;4314041137;3785889708;6299995415;43357019.57;3277467697;1005220195;12126999.4;;;61474603.76;38997019.15;53865518.83;37892548.93;1
5820613031;2729704686;;52833793639999900;6557752702000000;;;1645775389;2089768185;;-13602942.76;-1282236572;2298336528;40048665239999900;1658650975;3569618143;1
;12561135420000000;1714599434;2980381355;3353507031;-1795997384;2190042409;376332452;1523886813;8945425311;-4596289732;-2206962211;21261948.78;;7120831458;4482449704;1
9063653993;32273793.36;20087603.02;1190130789;1264340988;4818038526000000;43765678.57;2701972277;;8393830102;-5018476949;-37380461010000000;;;23538978.87;;1
3825315826;1237510701;6035874.63;7420794456;4982417464;19948742480000000;;2108084474;;9690271108;8205411696;-1033849911;57146070.07;;3423660334;3572710645;1
21633622199999900;7693364851;9672502526;1818782825;3768291923;5402424238;11025903.1;;5276522177;2106595.53;3518954373;-3442572963;34827075.77;;10159172.09;14453443.22;1
3046216295;1734427343;1377428.79;12326461220000000;5047220752;;1667640.54;6311502985;1933300348;184003086;7817591345;3426213839;64986347.25;9255436851;;10575700.27;1
;49656277.51;;48065748.11;5876747772999990;-8807116645;22428911.47;;1055669699;9290075062;11959448.14;11199405420000000;;219825812.5;76049676.82;73065679.8;1
4317291306;2685548.0;22491026079999900;7616160642999990;1942177013;-11173269.02;1311431.58;1331314456;5510115103;989114423;;-1344591.86;39980537.24;14877008.64;;2823116.58;1
1202287376;43454568.65;22924503.52;;1170956916;2907435538;67168351.99;17027742019999900;5938841339;4193567192;12046797.61;-7188939528;108608831.2;;23601747.12;27327129.19;1
1634147883;140084.22;18444542519999900;7474838747999990;13428350980000000;4481267406;1009080973;6194189172000000;4037830076;;;6412308077;23700147.63;15440414.23;11755718.27;5671241005;1
;13571205.39;4774186989;6467118799;9005602861;-2530502676;;;;14492865469999900;9484830704;-4020834607;44729867.02;;16010178.11;15053685.75;1
6049908163;;32823761.22;3718383702;3628109619;-1616789135;56381046.49;7534565527;9085768686;20662126430000000;;-37311977339999900;411816847.1;332719532.2;28713143.55;;1
1164084.02;1587718219;6974321672000000;4161414814;980570295;-7480786645;16258467659999900;1400876064;2984160044;30544428430000000;-4717296873;;23322607.48;13625262.88;3765998952;;1
1520559358;24910597.61;;;1152786.61;-1218073.8;30767415.29;3469227771;6664451973999990;6459531383;20900951.3;;252233859.1;36704858.09;;13873902.13;1
226019384;1278492247;6083142033;7357855793;800506801;8042951147000000;7595808614;63315678570000000;8990619233;;-6230000431;-6587546518999990;2682870708;;4851515178;9534046126;1
2266703841;35644565319999900;9575719339;5599517096;;6388990123;10988809.64;;4317342737;17864342119999900;55316931110000000;-5212167512;;49301921.8;27188150319999900;3704893583;1
1208720362;63215093.05;;97476628.86;2141135871;14168127140000000;86394214.88;1008661207;;9271114448999990;24707552.47;-8368810072000000;202242582.1;599945089.3;13343765.8;12869489.47;1
;10442286.47;24944376.7;2728689289;734386891;3286100227;40830634.61;5963537625;3743795992;8732760958;7623853985;-16869300769999900;188937768.1;42047335.71;34696641.28;17781612.45;1
3433195478;6301686458;;2696313134;4074953533;46014509969999900;25321357.51;4299912774;;22420434.43;-12046975.07;-2758127202;43332450.81;41485048.71;29335846.7;21289526.89;1
1108621116;8373793716;21597548.9;1105868247;3984500862;7679033306;12133924.38;573027801;8839866158;17657999.92;-4233929443;-2875417639;22453729.2;17517677.54;9389147131000000;;1
3385255807;3400236959;4942666916999990;;1182168878;-1607603707;6570203004;1761322034;5531177597999990;;14194543.26;;118108729.8;18062319.37;7174450257999990;26807103019999900;1
1841013497;2807440.57;16035688.2;2427371223;3114560.4;6096669497;;1736271811;1247809674;14078818.53;-7789187688999990;;97894527.05;47168963.57;13231615.5;23407493.13;1
;1237519247;4347192179;2217092972;6731181457;5351463471;2678686603;9975950097000000;5243402989;4693412131;-5537961003;;31721142.99;21051763.45;10989639.44;15910358.25;1
2797126489;31208124760000000;17617786730000000;;3609240303;2417545328;5232675962;;2400277.48;2014006745;2874224309;-2047269959;21205091.31;9448566522;3088187764;3599199.62;1
;44259784.9;11947196.89;1649333206;4627902909;-7283222936;76360435.12;1429640662;9489452619;1647080676;21009561.2;-3407048771;243451597.2;66193967.8;44327092.23;;1
1594923.73;65165835.36;47481203.34;13712839.08;9547057271;6223365405;116203959.1;2639697879;9474061438;6628574392999990;;-3610377209;222767729.3;195765939.2;79655981.43;44568611.23;1
;;64190194.4;;;7678999169;158466484.1;7164665043;;14476746719999900;;-8197817629;;1619581351.0;;29300442.26;1
9947076084;14427541.53;6761681971;1166984307;1227828828;-2914042199;18927282.4;3346321077;1514312168;12826691090000000;6953582.75;;;26400203.13;14552021.82;15905146.8;1
1486811949;18348009.46;2484147519;9883076.48;4496366008;-6681114672;;2775924752;31183745739999900;2049561372;16147324.67;-1438657436;;;17831513.45;16841229.36;1
3386483171;;2309390675;3049049482;5864907118;2759671.79;1258987564;8083524397000000;22337619580000000;5513892801;-12809273.11;2158082007;11582662.49;37641490.85;;16405228.36;1
;10022234.87;6966242401000000;3104492653;16952669030000000;7100631637999990;;;3644478624;;8852005527;-6027359.69;85024203.2;75302641.16;35247860930000000;9347872327;1
1019024255;9475973305;10175666.6;8559810516;2539562048;9169363326;27138202.16;2264742368;4637553037;3277070038;2461372835;-13370598190000000;149313588.7;140003574.1;34461881.6;;1
6258389734;19089292.92;3669388101;4322345448;3427140473;;;1013160808;1327972633;5080206945;26219617.55;-1352721394;270099097.9;76674198.35;11261141.51;9997595665;1
5607368939;1188669856;18123383369999900;1522921613;3322670034;4616490147;1368234279;1378605726;2661150466;7264069654;-11763414.9;1018423093;11682654.35;3244858889;5438531937999990;9675630927000000;1
3473352001;4635487456;15219674.74;;4251714784;7427909042;11561398.19;;1412281443;7113488141;;-2290402509;28899739.29;;10033614.68;22923454.93;1
5568986111;;14487829.03;1193777.03;34793331760000000;3206887042;;2027375841;2457834403;21445079159999900;10784136.91;41984029989999900;323054967.9;92252819.71;;29856292.8;1
1354027.35;12072528.5;;;1292301091;-11620994.15;9993649041000000;5962312461;1251677763;1048885423;13789124.53;-6975470563;91880634.2;22910653.0;;;1
5188686982;2476636153;10344452.27;1498013732;4047042068;8151886965;13987936.71;32171631510000000;;1365515927;-38050604080000000;-32986619039999900;45377323.59;21947638.89;;8141736812999990;1
2586195736;;4354705973;53837780.32;3218234475;-641631695;19937831.17;2372847225;;3011500461;3211781624;-6035635761;47616082.98;737800596.3;6680386.52;;1
6758087833;57806687129999900;4211661807;6504836305;21364378540000000;-5508655493;6463480971;2724042551;17452270880000000;;-2128304129;2515512175;87318253.41;54125987.16;7768279717999990;14850797.38;1
;1742285751;;;2096360431;;4559368363;1151731522;1998933632;6487534727999990;-2419211923;;34708950.76;19809242869999900;1140214679;3575424465;1
4736752945;4858665002;2992272022;3328047.97;25520355319999900;-2478821089;;18833616600000000;2338591056;3228949529;3682633.47;4263446514;74282063.81;30761096.12;14566438.75;15004821.39;1
4773900595;4549842867;5032707129;2204193946;7338163639;1629067884;6439553977999990;;;2070085604;10945896.91;-4345144716;;25310850.77;1750528779;3084249828;1
4349821405;1498819689;40669235439999900;1964789318;4491981135;;10456776.53;3892601086;4306957968;1019178037;;-5075441316000000;43117555.64;6713716812999990;11584718290000000;7404990577;1
4664844168;;19931179780000000;6896675776;2396816454;-1937931219;6256429332;2776070211;8781793408;1338741.86;11640109.88;4343633704;138749792.2;20015660.36;12264479.74;13486403.14;1
3203956371;;7262079197000000;309804934;6799660977;;8957609223;7179532194;7280523225;10096617609999900;-1262688.24;-1124694544;;15141553.65;;9861859384;1
6137375861;20111561.02;43709611680000000;9355207505;1951777803;-5682756483;19226410.46;2053448121;1050802.21;3261315.19;;-1320681383;21322593.96;49135960.34;31517318.53;25652667.13;1
5796608847;45728172.74;59143883.65;;7990186321;7551392489;109021998.3;;7176109747;5434164461;13149236.36;-6898470149;142015868.2;76985088.88;25797160.1;26291353.17;1
5739077312;6048868561000000;;;1018233415;-21654326859999900;;2796058447;1269211557;32991498839999900;-2466993924;6628253971;;6397768976;6442671778;7184734325;1
11254318.68;72905734.75;34694537.52;;1665530385;-5166030743;85320712.44;1343036136;7391724943;13162972.53;;;300155439.4;410306654.2;63820833.42;55185404.94;1
;89607671.76;25901514.87;85678160.64;59012194120000000;-6466937927;92139531.07;2290211.14;12638534.64;5283770334;24888909.07;-2462197123;477162487.5;;40154788.9;;1
7194930872;1767353354;23416327.36;4808824892;2035580245;8805971755;14311280.37;;6091816325;4476459001;-10587876.87;-31671040289999900;14317435.13;;6423379335;;1
1831341447;2464643521;35220325310000000;2195536233;2097750663;8299003248;9776971841;1520597967;;8889094148;-3883127809;-3828913557;16528043.7;3357459474;;4211920399;1
1161915378;1354382245;21607482819999900;6693144717999990;25942477300000000;8414931215;6072925092999990;5179699319;8936094395;4605136841;-2839623965;191180137;30341637.83;2624136175;11389976.49;6462375816000000;1
2113863377;4699527772;26309259.17;2628256631;8083838448;8273448786;9062312083999990;4072804924;9668366379999990;3381350767;;-4899064024;33603003.49;103900638.4;6729006222;12309232.22;1
9942303296;29587797.79;5978937557999990;7839640836;38564499760000000;-9489175695;29687780.51;9607237513;6866159657000000;;12890442.3;-1416687247;175951966.8;335178089.1;20281304.4;;1
3289960293;;2024881135;15710775280000000;;9894899518;7580355519;2908401605;;9133602989;;-1916130469;5667943112000000;13776589.67;6554996424;2642832.38;1
2769996963;;3173136327;1054471278;;-6001407734;2556918905;;4843314543;7468676805;-15009463.4;1152217471;4095344308;6640134097999990;4422651455;;1
9852442022999990;14849361.17;7391458539;;6338025783;6413911075;28020522.17;4112542957;;5719073422;7099137574;;44060437.48;105353441.9;;13272007.41;1
;13618072019999900;17139848.44;;1240488118;7407245597999990;8568912952;;29162239930000000;;40597113710000000;;35508939.34;9852992.82;8181675802999990;4472431779;1
1637907495;5472860481000000;3142528584;3626478139;8872054663;1544519581;;1923445944;3240430022;2429246765;;;;33831018.82;7571373909;8589239.68;1
7498841025;10367360.29;12963945.85;129598334;8061434739;7561829993;20378139.79;1732381628;1013108894;1530244645;2029474845;-16161928769999900;37990325.8;;30019924.7;26602459.97;1
;18073431.14;2901906291;4903665038;4289896912;-14042389980000000;;1354472536;4653909233;15477486709999900;6937705004;6804161668;163347471.6;147956726.7;;36052444.75;1
1524531465;1898836402;1285036685;60068317429999900;5993068986;54247445139999900;7239097922;48098763589999900;7570235327;1867602699;-13534765.81;;;20649031.0;1825756253;5733577929;1
5201549485;;18024887.33;4345179778;5597356177;6680242772000000;47825846.59;7163975913;;1782331031;10160136.46;-3709437954;129062573.0;;18131601.32;15780212.89;1
5758688615;115475481.4;125197204.8;;1884346.31;7044809477999990;179313723.4;20228474519999900;29418716.08;8996727006000000;16599493.18;;331895243.8;3292377700.0;39499397.37;41455500.85;1
60954415420000000;1048577279;22443944.26;2301934562;3860776497;8937005506000000;;1897253729;4377446902;4480625098999990;-13957852.11;-3956631808;23618356.42;9123362157;16952729.94;13534516.52;1
13726051609999900;;52047150.85;8037913461;6849320529;6255049022999990;60608951.3;6126884727;5297120353;4183424.72;13754301.65;-4249790162;222923961.3;82777300.01;25329370.89;26581837.77;1
2683635219;1403182185;;1415740839;22322652899999900;37434272630000000;3073806.4;725900435;;9127425057;;-1728703073;15417114.92;11844667.16;40619054469999900;5441684904;1
3044688565;12685234.05;59491077.73;;1198065726;;34008287.34;3302682136;;5629922302;-1446811595;;153560513.4;66362522.2;53193165.15;45937737.47;1
599619634;12788663.88;;150599294;;5477247895;11640530.1;2075054815;5583300921;5506962413;-15700115119999900;4364985443;;10589900.71;;27480985.2;1
;9442023295;3908714.9;31862718789999900;;-6524386961;8793532107;1884896163;1745100976;1300229666;8826474.86;-2534731642;126012352.9;272696734.5;16024836.53;14335261.87;1
3528714369;9076045504;;8095580973;7757804616;1369328801;7940705657000000;2843481482;55309002889999900;1438745.51;1871057506;3730305127;;30253197.02;25717739.76;28956602.21;1
